Index,X,Y,Z,Target_X,Target_Y,Target_Z
296,-0.305227,-0.0157182,0.691381,-0.3044,-0.0149,0.6996
297,-0.305213,-0.0157042,0.691522,-0.3044,-0.0149,0.6996
298,-0.305199,-0.0156902,0.691663,-0.3044,-0.0149,0.6996
299,-0.305185,-0.0156762,0.691803,-0.3044,-0.0149,0.6996
300,-0.305171,-0.0156622,0.691944,-0.3044,-0.0149,0.6996
301,-0.305157,-0.0156482,0.692084,-0.3044,-0.0149,0.6996
302,-0.305143,-0.0156345,0.692222,-0.3044,-0.0149,0.6996
303,-0.30513,-0.015621,0.692358,-0.3044,-0.0149,0.6996
304,-0.305117,-0.0156078,0.69249,-0.3044,-0.0149,0.6996
305,-0.305104,-0.0155949,0.69262,-0.3044,-0.0149,0.6996
306,-0.305091,-0.0155822,0.692747,-0.3044,-0.0149,0.6996
307,-0.305079,-0.0155699,0.69287,-0.3044,-0.0149,0.6996
308,-0.305067,-0.0155579,0.692991,-0.3044,-0.0149,0.6996
309,-0.305055,-0.0155462,0.693109,-0.3044,-0.0149,0.6996
310,-0.305044,-0.0155348,0.693223,-0.3044,-0.0149,0.6996
311,-0.305033,-0.0155237,0.693335,-0.3044,-0.0149,0.6996
312,-0.305022,-0.0155128,0.693444,-0.3044,-0.0149,0.6996
313,-0.305011,-0.0155021,0.693551,-0.3044,-0.0149,0.6996
314,-0.305001,-0.0154917,0.693656,-0.3044,-0.0149,0.6996
315,-0.304991,-0.0154815,0.693759,-0.3044,-0.0149,0.6996
316,-0.304981,-0.0154715,0.693859,-0.3044,-0.0149,0.6996
317,-0.304971,-0.0154617,0.693957,-0.3044,-0.0149,0.6996
318,-0.304961,-0.0154521,0.694053,-0.3044,-0.0149,0.6996
319,-0.304952,-0.0154428,0.694147,-0.3044,-0.0149,0.6996
320,-0.304943,-0.0154336,0.694239,-0.3044,-0.0149,0.6996
321,-0.304934,-0.0154247,0.694328,-0.3044,-0.0149,0.6996
322,-0.304925,-0.015416,0.694416,-0.3044,-0.0149,0.6996
323,-0.304917,-0.0154074,0.694502,-0.3044,-0.0149,0.6996
324,-0.304908,-0.0153989,0.694587,-0.3044,-0.0149,0.6996
325,-0.3049,-0.0153907,0.69467,-0.3044,-0.0149,0.6996
326,-0.304892,-0.0153825,0.694752,-0.3044,-0.0149,0.6996
327,-0.304884,-0.0153745,0.694832,-0.3044,-0.0149,0.6996
328,-0.304876,-0.0153667,0.694911,-0.3044,-0.0149,0.6996
329,-0.304868,-0.015359,0.694988,-0.3044,-0.0149,0.6996
330,-0.304861,-0.0153515,0.695064,-0.3044,-0.0149,0.6996
331,-0.304853,-0.0153441,0.695138,-0.3044,-0.0149,0.6996
332,-0.304846,-0.0153368,0.695211,-0.3044,-0.0149,0.6996
333,-0.304839,-0.0153297,0.695283,-0.3044,-0.0149,0.6996
334,-0.304832,-0.0153226,0.695354,-0.3044,-0.0149,0.6996
335,-0.304825,-0.0153156,0.695423,-0.3044,-0.0149,0.6996
336,-0.304818,-0.0153088,0.695492,-0.3044,-0.0149,0.6996
337,-0.304811,-0.015302,0.69556,-0.3044,-0.0149,0.6996
338,-0.304805,-0.0152954,0.695627,-0.3044,-0.0149,0.6996
339,-0.304798,-0.0152889,0.695692,-0.3044,-0.0149,0.6996
340,-0.304792,-0.0152824,0.695757,-0.3044,-0.0149,0.6996
341,-0.304786,-0.0152761,0.695821,-0.3044,-0.0149,0.6996
342,-0.304779,-0.0152698,0.695883,-0.3044,-0.0149,0.6996
